sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.9669707301576103
6.9,3.1,5.1,2.3,virginica,0.9677581407157798
5.1,2.5,3.0,1.1,versicolor,0.9509136905524725
4.4,2.9,,0.2,setosa,0.6353154046064963
5.9,3.0,5.1,1.8,virginica,0.7751413155516609
5.5,3.5,1.3,0.2,setosa,0.9586920362302239
5.6,,3.6,1.3,versicolor,0.9385262598868839
6.5,3.0,5.2,2.0,virginica,0.9513017378040093
5.3,3.7,1.5,0.2,setosa,0.9636695822744038
5.1,3.4,1.5,,setosa,0.8127504105001111
6.1,2.8,4.0,1.3,versicolor,0.9787244127209328
5.5,2.4,3.7,1.0,versicolor,0.9789053107290471
7.7,3.0,6.1,2.3,virginica,0.96269027653384
6.9,3.1,4.9,1.5,versicolor,0.7444499115709217
6.0,2.2,5.0,1.5,versicolor,0.583326930401127
